raw_transaction,upi_id,amount,transaction_type,recipient_type,category,bank,recipient_name,merchant_info
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Swiggy - Wikipedia', 'snippet': 'Swiggy is an Indian online food ordering and delivery company. Founded in 2014, Swiggy is headquartered in Bangalore and operates in more than 580 Indian ...'}, {'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,"paytm, hdfc, icici, sbi, axis, okicici, okhdfc, oksbi, okaxis",paytm,"[{'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}, {'title': 'Paytm for Business', 'snippet': 'Business type. Select Business type. This field is mandatory *. Private Limited Company; Public Limited Company; Proprietorship; Partnership/LLP; Trust/Society ...'}]"
INR 500 debited to swiggy.75839@okicici for dinner,INR 500 debited to swiggy.75839@okicici,500,debit,merchant,food,okicici,swiggy,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy business model is based on the hyperlocal on-demand food delivery business operation, intending to deliver food within 30 minutes. Swiggy ...'}, {'title': 'Swiggy - Company Profile - Tracxn', 'snippet': 'Swiggy serves in the B2C space in the Transportation and Logistics Tech, Food and Agriculture Tech market segments. The primary business model of Swiggy are ...'}]"
INR 1000 credited from yash.gupta123@hdfc salary,INR 1000 credited from yash.gupta123@hdfc,1000,credit,individual,utilities,hdfc,yash.gupta123,
INR 200 debited to 9876543210@paytm for groceries,INR 200 debited to 9876543210@paytm,200,debit,merchant,shopping,paytm,paytm,"[{'title': 'Paytm - Wikipedia', 'snippet': 'Paytm is an Indian multinational financial technology company, that specializes in digital payments and financial services, based in Noida, India. Paytm was ...'}, {'title': 'Our Business - Paytm IR', 'snippet': 'Our Core Business is to Acquire Payment Customers and Distribute Loans. Paytm offers a full suite of payment services for both consumers and merchants. The ...'}]"
"""2024-01-20 INR 500 debited to swiggy.75839@okicici for dinner""","""2024-01-20 INR 500 debited to swiggy.75839@okicici",-500.0,debit,individual,food,okicici,swiggy,"""2024-01-20",
" ""2024-01-21 INR 1000 credited from yash.gupta123@hdfc salary"""," ""2024-01-21 INR 1000 credited from yash.gupta123@hdfc",1000.0,credit,individual,utilities,hdfc,yash.gupta,"""2024-01-21",
" ""2024-01-21 INR 1000 credited from yash.gupta123@hdfc salary"""," ""2024-01-21 INR 1000 credited from yash.gupta123@hdfc",1000.0,credit,merchant,business,hdfc,,"""2024-01-21","[{'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Review common business structures · Sole proprietorship · Partnership · Limited liability company (LLC) · Corporation · Cooperative.'}, {'title': 'Types of Businesses - Corporate Finance Institute', 'snippet': 'There are four main types of businesses to choose when forming a company: sole proprietorships, partnerships, limited liability companies, and corporations.'}]"
2024-01-20 INR 500 debited to swiggy.75839@okicici for dinner,2024-01-20 INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,okicici,swiggy,2024-01-20,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy business model is based on the hyperlocal on-demand food delivery business operation, intending to deliver food within 30 minutes. Swiggy ...'}, {'title': ""SWIGGY'S BUSINESS MODEL - LinkedIn"", 'snippet': ""With an aim to deliver the food within 30 minutes on-demand, Swiggy's business model is purely based upon hyperlocal on-demand food delivery business operation.""}]"
2024-01-21 INR 1000 credited from yash.gupta123@hdfc salary,2024-01-21 INR 1000 credited from yash.gupta123@hdfc,1000.0,credit,individual,salary,hdfc,yash.gupta,2024-01-21,
"INR 500 debited to swiggy.75839@okicici",INR 500 debited to swiggy.75839@okicici,-500.0,debit,individual,food,okicici,swiggy,INR,
"INR 1000 credited from yash.gupta123@hdfc",INR 1000 credited from yash.gupta123@hdfc,1000.0,credit,individual,utilities,hdfc,yash gupta,INR,
"INR 200 debited to 9876543210@paytm",INR 200 debited to 9876543210@paytm,-200.0,debit,merchant,transport,Paytm,inr 200,INR,"[{'title': 'Entity set up in India - DLA Piper Guide to Going Global', 'snippet': 'Private limited company\u200b\u200b There must be a minimum of 2 shareholders and a maximum of 200. For directors, the minimum is 2 and the maximum is 15.'}, {'title': '[PDF] INR200 TP', 'snippet': 'They may perform or seek to perform investment banking or other services for, or solicit investment banking or other business from, any company ...'}]"
INR 799 debited to netflix.sub12@okaxis,INR 799 debited to netflix.sub12@okaxis,-799.0,debit,merchant,entertainment,okaxis,netflix,INR,"[{'title': 'NFLX.O - Netflix Inc - Reuters', 'snippet': 'Netflix, Inc. is a provider of entertainment services. The Company acquires, licenses and produces content, including original programming.'}, {'title': 'Netflix Organizational Structure: How the Streaming Giant Manages ...', 'snippet': 'The functional division is made up of different business functions, such as content, communication, talent, finance, legal and so on. These functions are led by ...'}]"
"INR 500 debited to swiggy.75839@okicici",INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,okicici,swiggy,INR,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}, {'title': ""SWIGGY'S BUSINESS MODEL - LinkedIn"", 'snippet': ""With an aim to deliver the food within 30 minutes on-demand, Swiggy's business model is purely based upon hyperlocal on-demand food delivery business operation.""}]"
"INR 1000 credited from yash.gupta123@hdfc",INR 1000 credited from yash.gupta123@hdfc,1000.0,credit,individual,utilities,hdfc,yash.gupta123,INR,
"INR 200 debited to 9876543210@paytm",INR 200 debited to 9876543210@paytm,-200.0,debit,merchant,business,Paytm,,INR,"[{'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'Review common business structures · Sole proprietorship · Partnership · Limited liability company (LLC) · Corporation · Cooperative.'}, {'title': 'Types of Businesses - Corporate Finance Institute', 'snippet': 'There are four main types of businesses to choose when forming a company: sole proprietorships, partnerships, limited liability companies, and corporations.'}]"
"INR 500 debited to swiggy.75839@okicici",INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,okicici,swiggy,INR,"[{'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy started in August 2014 as an online food ordering and delivery startup. Today, it has over 5,000,000 mobile app installations and is a ...'}, {'title': ""SWIGGY'S BUSINESS MODEL - LinkedIn"", 'snippet': ""With an aim to deliver the food within 30 minutes on-demand, Swiggy's business model is purely based upon hyperlocal on-demand food delivery business operation.""}]"
"INR 1000 credited from yash.gupta123@hdfc",INR 1000 credited from yash.gupta123@hdfc,1000.0,credit,individual,shopping,hdfc,yash.gupta123,INR,
"INR 200 debited to 9876543210@paytm",INR 200 debited to 9876543210@paytm,-200.0,debit,merchant,shopping,paytm,none,INR,"[{'title': 'Choose a business structure | U.S. Small Business Administration', 'snippet': 'The business structure you choose influences everything from day-to-day operations, to taxes and how much of your personal assets are at risk.'}, {'title': 'Business structures | Internal Revenue Service', 'snippet': 'The most common forms of business are the sole proprietorship, partnership, corporation, and S corporation.'}]"
INR 799 debited to netflix.sub12@okaxis,INR 799 debited to netflix.sub12@okaxis,-799.0,debit,merchant,entertainment,okaxis,netflix,INR,"[{'title': 'NFLX.O - Netflix Inc - Reuters', 'snippet': 'Netflix, Inc. is a provider of entertainment services. The Company acquires, licenses and produces content, including original programming.'}, {'title': 'Netflix Organizational Structure: How the Streaming Giant Manages ...', 'snippet': 'The functional division is made up of different business functions, such as content, communication, talent, finance, legal and so on. These functions are led by ...'}]"
"INR 500 debited to swiggy.75839@okicici
",INR 500 debited to swiggy.75839@okicici,-500.0,debit,merchant,food,okicici,swiggy,INR,"[{'title': 'Swiggy - Wikipedia', 'snippet': 'Swiggy is an Indian online food ordering and delivery company. Founded in 2014, Swiggy is headquartered in Bangalore and operates in more than 580 Indian ...'}, {'title': 'Business Model Of Swiggy | How Swiggy works & Make Money', 'snippet': 'Swiggy business model is based on the hyperlocal on-demand food delivery business operation, intending to deliver food within 30 minutes. Swiggy ...'}]"
"INR 1000 credited from yash.gupta123@hdfc
",INR 1000 credited from yash.gupta123@hdfc,1000.0,credit,individual,utilities,hdfc,yash.gupta123,INR,
"INR 200 debited to 9876543210@paytm
",INR 200 debited to 9876543210@paytm,-200.0,debit,merchant,utilities,paytm,debit,INR,"[{'title': 'Business debit cards: benefits and types - Blog - Genome', 'snippet': 'Just like personal debit cards, corporate debit cards have many benefits – they are easy to use and manage, do not have a credit score attached ...'}, {'title': 'Debit vs. Credit Cards for Small Business Owners - Rockland Trust', 'snippet': 'Having a business debit card and a business credit card can make paying everyday small business expenses a lot easier. There are pros and cons to each.'}]"
INR 799 debited to netflix.sub12@okaxis,INR 799 debited to netflix.sub12@okaxis,-799.0,debit,merchant,entertainment,okaxis,netflix,INR,"[{'title': 'Netflix Inc Company Profile - GlobalData', 'snippet': 'The company markets and promotes its service through various marketing partners including multichannel video programming distributors, streaming entertainment ...'}, {'title': 'Netflix - Wikipedia', 'snippet': 'Netflix is an American subscription video on-demand over-the-top streaming service. The service primarily distributes original and acquired films and ...'}]"
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,merchant,transport,okhdfc,mart,Brother,"[{'title': 'What Is a Data Mart? IBM', 'snippet': 'A data mart is a subset of a data warehouse focused on a particular line of business, department or subject area.'}, {'title': 'Data mart - Wikipedia', 'snippet': 'A data mart is basically a condensed and more focused version of a data warehouse that reflects the regulations and process specifications of each business unit ...'}]"
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-968.0,debit,merchant,transport,sbI,vendor,Brother,
"Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis
",Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis,-669.0,debit,merchant,shopping,okaxis,shop,Brother,"[{'title': 'What is Retail Business: Types and Ideas | SendPulse', 'snippet': 'A retail business is the sale of items and services in small quantities to customers in-store or online. Grocery, clothing, and drug stores ...'}, {'title': 'What is a Retail Store? Different Types of Retail Businesses You ...', 'snippet': 'Think of department stores where you can buy clothes, shoes, undergarments, towels, toys, and even home decors.'}]"
"Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici
",Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,-964.0,debit,individual,shopping,okicici,shop,Brother,
"Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc
",Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,-1064.0,debit,merchant,utilities,okhdfc,hdfc,Brother,"[{'title': 'UPI - Instant Mobile Money Transfer with Unified Payment Interface', 'snippet': ""Know all about Unified Payments Interface (UPI). HDFC Bank's UPI payment service allows hassle-free instant funds transfers. Know features & Benefits of ...""}, {'title': 'HDFC Bank – Personal Banking & Netbanking Services', 'snippet': ""HDFC Bank, India's leading private sector bank, offers Online NetBanking Services & Personal Banking Services like Accounts & Deposits, Cards, Loans, ...""}]"
"Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm
",Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,-16594.0,debit,merchant,business/other,paytm,amazon,Brother,"[{'title': 'Choosing an Amazon Seller Business Type: LLC vs. Sole ... - Bizee', 'snippet': 'Most of the time, we recommend an LLC for Amazon third-party sellers, but you can also choose to operate as a sole proprietor or register as an S Corp or C ...'}, {'title': 'Best Amazon Seller Business Type: 4 Options for Your Venture - doola', 'snippet': 'You can be a sole proprietor or sole trader, but you may also choose a partnership, limited liability company (LLC), or a corporation. Each ...'}]"
"Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi
",Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,4385.0,credit,merchant,shopping,oksb,vendor,Brother,"[{'title': '12 Types of Vendors (Plus Tips on How To Find Them) - Indeed', 'snippet': '12 types of vendors · 1. Wholesale company · 2. Transportation company · 3. Software company · 4. Shipping company · 5. Marketing company · 6.'}, {'title': 'What Is a Vendor? Definition, Types, and Example - Investopedia', 'snippet': 'A vendor is an entity that sells something. It can sell services, products, or a combination of the two to businesses and consumers.'}]"
"Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi
",Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi,-543.0,debit,merchant,utilities,oksb,mart,Brother,"[{'title': 'The Mart | About - Merchandise Mart', 'snippet': ""THE MART serves as the home to Chicago's most creative and technologically innovative companies, including Motorola Mobility, 1871, PayPal, Avant and MATTER.""}, {'title': 'Data mart - Wikipedia', 'snippet': 'A data mart is basically a condensed and more focused version of a data warehouse that reflects the regulations and process specifications of each business unit ...'}]"
"Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici
",Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici,-1193.0,debit,individual,shopping,okicici,shop,Brother,
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [00:32:47 02-12-2022] inr 836 debited to mart.156@okhdfc,Brother,
"Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi
",Brother - [00:47:14 02-12-2022] INR 851 debited to vendor.968@oksbi,-851.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [00:47:14 02-12-2022] inr 851 debited to vendor.968@oksbi,Brother,
"Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis
",Brother - [16:45:02 02-12-2022] INR 669 debited to shop.869@okaxis,-669.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [16:45:02 02-12-2022] inr 669 debited to shop.869@okaxis,Brother,
"Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici
",Brother - [21:34:47 03-12-2022] INR 964 debited to shop.861@okicici,-964.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [21:34:47 03-12-2022] inr 964 debited to shop.861@okicici,Brother,
"Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc
",Brother - [08:27:28 04-12-2022] INR 1064 debited to seller.113@okhdfc,-1064.0,debit,merchant,food/transport/entertainment/utilities/shopping/health/education/other,unknown,brother - [08:27:28 04-12-2022] inr 1064 debited to seller.113@okhdfc,Brother,
"Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm
",Brother - [13:14:28 05-12-2022] INR 16594 debited to seller.210@paytm,-16594.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [13:14:28 05-12-2022] inr 16594 debited to seller.210@paytm,Brother,
"Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi
",Brother - [22:00:27 05-12-2022] INR 4385 credited from vendor.253@oksbi,4385.0,credit,merchant,utilities,unknown,brother - [22:00:27 05-12-2022] inr 4385 credited from vendor.253@oksbi,Brother,
"Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi
",Brother - [01:07:19 09-12-2022] INR 543 debited to mart.518@oksbi,-543.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [01:07:19 09-12-2022] inr 543 debited to mart.518@oksbi,Brother,
"Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici
",Brother - [12:52:59 17-12-2022] INR 1193 debited to shop.861@okicici,-1193.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [12:52:59 17-12-2022] inr 1193 debited to shop.861@okicici,Brother,
"Brother - [07:30:57 18-12-2022] INR 3448 debited to mart.594@okicici
",Brother - [07:30:57 18-12-2022] INR 3448 debited to mart.594@okicici,-3448.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [07:30:57 18-12-2022] inr 3448 debited to mart.594@okicici,Brother,
"Brother - [10:25:04 19-12-2022] INR 22530 debited to seller.210@paytm
",Brother - [10:25:04 19-12-2022] INR 22530 debited to seller.210@paytm,-22530.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [10:25:04 19-12-2022] inr 22530 debited to seller.210@paytm,Brother,
"Brother - [06:33:48 21-12-2022] INR 782 debited to vendor.641@okaxis
",Brother - [06:33:48 21-12-2022] INR 782 debited to vendor.641@okaxis,-782.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [06:33:48 21-12-2022] inr 782 debited to vendor.641@okaxis,Brother,
"Brother - [06:19:27 25-12-2022] INR 943 credited from retail.961@okicici
",Brother - [06:19:27 25-12-2022] INR 943 credited from retail.961@okicici,943.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [06:19:27 25-12-2022] inr 943 credited from retail.961@okicici,Brother,
"Brother - [15:20:31 28-12-2022] INR 579 credited from vendor.641@okaxis
",Brother - [15:20:31 28-12-2022] INR 579 credited from vendor.641@okaxis,579.0,credit,individual,other,unknown,brother - [15:20:31 28-12-2022] inr 579 credited from vendor.641@okaxis,Brother,
"Brother - [08:46:46 29-12-2022] INR 796 debited to market.157@oksbi
",Brother - [08:46:46 29-12-2022] INR 796 debited to market.157@oksbi,-796.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [08:46:46 29-12-2022] inr 796 debited to market.157@oksbi,Brother,
"Brother - [12:03:15 29-12-2022] INR 331 credited from retail.239@paytm
",Brother - [12:03:15 29-12-2022] INR 331 credited from retail.239@paytm,331.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [12:03:15 29-12-2022] inr 331 credited from retail.239@paytm,Brother,
"Brother - [09:15:34 30-12-2022] INR 3866 debited to mart.594@okicici
",Brother - [09:15:34 30-12-2022] INR 3866 debited to mart.594@okicici,-3866.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [09:15:34 30-12-2022] inr 3866 debited to mart.594@okicici,Brother,
"Brother - [12:46:05 30-12-2022] INR 508 credited from vendor.641@okaxis
",Brother - [12:46:05 30-12-2022] INR 508 credited from vendor.641@okaxis,508.0,credit,individual,food/transport/entertainment/utilities/shopping/health/education/other,unknown,brother - [12:46:05 30-12-2022] inr 508 credited from vendor.641@okaxis,Brother,
"Brother - [00:47:23 31-12-2022] INR 492 credited from vendor.149@paytm
",Brother - [00:47:23 31-12-2022] INR 492 credited from vendor.149@paytm,492.0,credit,individual,other,unknown,brother - [00:47:23 31-12-2022] inr 492 credited from vendor.149@paytm,Brother,
"Brother - [00:16:27 01-01-2023] INR 740 debited to shop.869@okaxis
",Brother - [00:16:27 01-01-2023] INR 740 debited to shop.869@okaxis,-740.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [00:16:27 01-01-2023] inr 740 debited to shop.869@okaxis,Brother,
"Brother - [07:08:21 01-01-2023] INR 1008 debited to mart.156@okhdfc
",Brother - [07:08:21 01-01-2023] INR 1008 debited to mart.156@okhdfc,-1008.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [07:08:21 01-01-2023] inr 1008 debited to mart.156@okhdfc,Brother,
"Brother - [12:29:31 01-01-2023] INR 792 debited to vendor.968@oksbi
",Brother - [12:29:31 01-01-2023] INR 792 debited to vendor.968@oksbi,-968.0,debit,merchant,food/transport/entertainment/utilities/shopping,unknown,brother - [12:29:31 01-01-2023] inr 792 debited to vendor.968@oksbi,Brother,
"Brother - [16:19:43 03-01-2023] INR 14490 credited from retail.737@okhdfc
",Brother - [16:19:43 03-01-2023] INR 14490 credited from retail.737@okhdfc,14490.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [16:19:43 03-01-2023] inr 14490 credited from retail.737@okhdfc,Brother,
"Brother - [18:11:40 03-01-2023] INR 4234 credited from mart.594@okicici
",Brother - [18:11:40 03-01-2023] INR 4234 credited from mart.594@okicici,4234.0,credit,individual,food,unknown,brother - [18:11:40 03-01-2023] inr 4234 credited from mart.594@okicici,Brother,
"Brother - [23:17:09 03-01-2023] INR 495 credited from vendor.149@paytm
",Brother - [23:17:09 03-01-2023] INR 495 credited from vendor.149@paytm,495.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [23:17:09 03-01-2023] inr 495 credited from vendor.149@paytm,Brother,
"Brother - [22:15:01 04-01-2023] INR 2774 credited from vendor.753@okhdfc
",Brother - [22:15:01 04-01-2023] INR 2774 credited from vendor.753@okhdfc,2774.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [22:15:01 04-01-2023] inr 2774 credited from vendor.753@okhdfc,Brother,
"Brother - [17:55:20 11-01-2023] INR 1024 credited from shop.861@okicici
",Brother - [17:55:20 11-01-2023] INR 1024 credited from shop.861@okicici,1024.0,credit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [17:55:20 11-01-2023] inr 1024 credited from shop.861@okicici,Brother,
"Brother - [20:49:55 11-01-2023] INR 1118 credited from vendor.435@okhdfc
",Brother - [20:49:55 11-01-2023] INR 1118 credited from vendor.435@okhdfc,1118.0,credit,merchant,utilities,unknown,brother - [20:49:55 11-01-2023] inr 1118 credited from vendor.435@okhdfc,Brother,
"Brother - [00:13:07 12-01-2023] INR 1154 debited to seller.113@okhdfc
",Brother - [00:13:07 12-01-2023] INR 1154 debited to seller.113@okhdfc,-1154.0,debit,merchant,food/transport/entertainment/utilities/shopping/health/education/other,unknown,brother - [00:13:07 12-01-2023] inr 1154 debited to seller.113@okhdfc,Brother,
"Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc
",Brother - [00:32:47 02-12-2022] INR 836 debited to mart.156@okhdfc,-836.0,debit,individual,food/transport/entertainment/utilities/shopping,unknown,brother - [00:32:47 02-12-2022] inr 836 debited to mart.156@okhdfc,Brother,
